account_id,account_name,industry,account_owner,created_ts,source_system
ACC2711,Nair Industries,Healthcare,Meera Sharma,2026-03-09,CRM
ACC2061,Agrawal Industries,Retail,Sachin Patel,2026-02-17,CRM
ACC2304,Sharma Traders,Retail,Sandeep Desai,2026-02-06,CRM
ACC2311,Menon Finance,Construction,Mala Kapoor,2026-05-12,CRM
ACC2127,Bajaj Consulting,Technology,Nisha Das,2026-06-28,CRM
ACC2878,Banerjee Industries,Manufacturing,Rajesh Kumar,2026-02-02,CRM
ACC2290,Srivastava Healthcare,Manufacturing,Rajesh Tiwari,2026-04-26,CRM
ACC2528,Sharma Finance,Manufacturing,Rahul Yadav,2026-06-22,CRM
ACC2268,Singh Services,Financial Services,Geeta Kapoor,2026-01-26,CRM
ACC2650,Das Textiles,Technology,Anjali Agrawal,2026-02-05,CRM
ACC2206,Iyer Retail,Construction,Sunita Joshi,2026-03-15,CRM
ACC2844,Dubey Pharmaceuticals,Retail,Deepak Iyer,2026-06-28,CRM
ACC2694,Gupta Healthcare,Manufacturing,Arjun Shukla,2026-01-23,CRM
ACC2854,Malhotra Industries,Transportation,Anil Mehta,2026-01-08,CRM
ACC2255,Bose Enterprises,Transportation,Vikram Srivastava,2026-04-12,CRM
ACC2750,Singh Industries,Construction,Geeta Iyer,2026-02-04,CRM
ACC2236,Malhotra Foods,Construction,Alok Shukla,2026-03-01,CRM
ACC2919,Verma Services,Construction,Suresh Patel,2026-01-11,CRM
ACC2851,Joshi Group,Retail,Neha Kumar,2026-02-21,CRM
ACC2423,Menon Services,Technology,Nisha Yadav,2026-01-19,CRM
ACC2910,Tiwari Foods,Healthcare,Jane Agrawal,2026-03-14,CRM
ACC2402,Kapoor Technologies,Transportation,Geeta Desai,2026-04-01,CRM
ACC2615,Mishra Textiles,Financial Services,Shalini Dubey,2026-01-30,CRM
ACC2506,Banerjee Traders,Manufacturing,Ravi Kapoor,2026-06-25,CRM
ACC2619,Shukla Traders,Transportation,Nisha Bose,2026-03-19,CRM
ACC2597,Das Logistics,Financial Services,Anjali Tiwari,2026-01-28,CRM
ACC2381,Menon Technologies,Technology,Anjali Banerjee,2026-04-01,CRM
ACC2512,Mishra Industries,Technology,Mala Srivastava,2026-04-25,CRM
ACC2589,Pandey Enterprises,Healthcare,Arjun Mishra,2026-05-09,CRM
ACC2363,Das Retail,Technology,Priya Yadav,2026-04-18,CRM
ACC2682,Shah Foods,Retail,Rajesh Nair,2026-05-05,CRM
ACC2056,Malhotra Consulting,Retail,Sneha Iyer,2026-04-27,CRM
ACC2162,Pandey Pharmaceuticals,Manufacturing,Lakshmi Mehta,2026-01-05,CRM
ACC2097,Iyer Technologies,Transportation,Anita Joshi,2026-04-22,CRM
ACC2242,Nair Logistics,Technology,Alok Das,2026-03-17,CRM
ACC2221,Tiwari Pharmaceuticals,Transportation,Amit Chopra,2026-04-08,CRM
ACC2704,Srivastava Solutions,Financial Services,Neha Srivastava,2026-02-22,CRM
ACC2838,Desai Group,Manufacturing,Usha Bajaj,2026-03-09,CRM
ACC2736,Gupta Retail,Manufacturing,Deepak Chopra,2026-01-03,CRM
ACC2248,Verma Group,Transportation,Arjun Mehta,2026-06-15,CRM
ACC2194,Sharma Industries,Construction,Mala Iyer,2026-06-22,CRM
ACC2174,Banerjee Pharmaceuticals,Manufacturing,Rahul Nair,2026-04-23,CRM
ACC2457,Agrawal Technologies,Healthcare,Radha Das,2026-01-10,CRM
ACC2625,Bose Logistics,Construction,Alok Bose,2026-06-15,CRM
ACC2675,Shah Foods,Transportation,Anil Shukla,2026-03-10,CRM
ACC2062,Gupta Solutions,Retail,Meera Reddy,2026-03-02,CRM
ACC2210,Verma Solutions,Retail,Ravi Kapoor,2026-02-09,CRM
ACC2123,Iyer Logistics,Financial Services,Priya Singh,2026-05-19,CRM
ACC2658,Sharma Consulting,Retail,John Nair,2026-02-26,CRM
ACC2856,Krishnan Logistics,Financial Services,Lakshmi Nair,2026-02-11,CRM
ACC2622,Agrawal Group,Retail,Anil Krishnan,2026-06-27,CRM
ACC2840,Iyer Textiles,Construction,Amit Kumar,2026-06-08,CRM
ACC2534,Patel Textiles,Manufacturing,Alok Tiwari,2026-03-01,CRM
ACC2782,Nair Technologies,Transportation,Kavita Malhotra,2026-06-29,CRM
ACC2411,Agrawal Textiles,Technology,Manish Shukla,2026-01-31,CRM
ACC2557,Tiwari Pharmaceuticals,Retail,Jane Mishra,2026-03-23,CRM
ACC2845,Singh Traders,Financial Services,Jane Srivastava,2026-04-24,CRM
ACC2348,Shah Logistics,Healthcare,Mala Srivastava,2026-05-30,CRM
ACC2876,Mishra Pharmaceuticals,Transportation,Usha Mehta,2026-04-02,CRM
ACC2275,Shah Consulting,Technology,Sandeep Yadav,2026-01-01,CRM
ACC2428,Chopra Group,Transportation,Sachin Kumar,2026-02-27,CRM
ACC2450,Krishnan Technologies,Retail,Lakshmi Banerjee,2026-01-28,CRM
ACC2128,Bajaj Consulting,Technology,Neha Srivastava,2026-04-08,CRM
ACC2572,Sharma Retail,Retail,Usha Banerjee,2026-06-28,CRM
ACC2442,Chopra Healthcare,Manufacturing,Rajesh Verma,2026-02-01,CRM
ACC2027,Sharma Solutions,Transportation,Rajesh Srivastava,2026-01-30,CRM
ACC2393,Iyer Technologies,Retail,Usha Shukla,2026-06-15,CRM
ACC2607,Gupta Logistics,Financial Services,Lakshmi Mishra,2026-03-05,CRM
ACC2585,Srivastava Logistics,Healthcare,Manish Malhotra,2026-02-23,CRM
ACC2380,Mehta Retail,Technology,Usha Sharma,2026-03-03,CRM
ACC2001,Verma Solutions,Transportation,Arjun Tiwari,2026-05-20,CRM
ACC2775,Kumar Technologies,Financial Services,Sneha Iyer,2026-06-02,CRM
ACC2504,Nair Enterprises,Technology,Sandeep Banerjee,2026-01-03,CRM
ACC2891,Menon Solutions,Manufacturing,Arjun Reddy,2026-04-14,CRM
ACC2419,Shah Healthcare,Retail,Arvind Mishra,2026-05-07,CRM
ACC2155,Singh Services,Healthcare,Pooja Srivastava,2026-03-13,CRM
ACC2921,Srivastava Consulting,Healthcare,Ravi Verma,2026-01-03,CRM
ACC2408,Kapoor Logistics,Financial Services,Anjali Bose,2026-04-24,CRM
ACC2906,Krishnan Finance,Manufacturing,Sneha Verma,2026-06-29,CRM
ACC2787,Pandey Traders,Retail,Arjun Chopra,2026-03-24,CRM
ACC2327,Mehta Industries,Technology,Meera Agrawal,2026-05-11,CRM
ACC2541,Shukla Technologies,Financial Services,Vijay Krishnan,2026-06-14,CRM
ACC2234,Mishra Traders,Construction,Anita Bose,2026-02-14,CRM
ACC2489,Banerjee Logistics,Financial Services,Arvind Yadav,2026-06-15,CRM
ACC2875,Tiwari Enterprises,Construction,Arvind Chopra,2026-06-25,CRM
ACC2334,Kapoor Solutions,Financial Services,Meera Shukla,2026-03-12,CRM
ACC2708,Agrawal Group,Healthcare,Mala Gupta,2026-04-03,CRM
ACC2140,Sharma Healthcare,Construction,Amit Yadav,2026-01-06,CRM
ACC2023,Singh Traders,Technology,Anil Desai,2026-05-07,CRM
ACC2235,Srivastava Textiles,Technology,John Reddy,2026-06-24,CRM
ACC2277,Bose Services,Healthcare,Manish Verma,2026-02-03,CRM
ACC2508,Malhotra Finance,Financial Services,Ravi Mehta,2026-06-07,CRM
ACC2884,Bajaj Healthcare,Technology,Meera Shukla,2026-01-31,CRM
ACC2340,Reddy Pharmaceuticals,Technology,Arvind Chopra,2026-02-08,CRM
ACC2447,Banerjee Pharmaceuticals,Healthcare,Dinesh Bajaj,2026-01-24,CRM
ACC2783,Nair Traders,Technology,Kavita Nair,2026-02-18,CRM
ACC2150,Chopra Technologies,Retail,Radha Mehta,2026-04-18,CRM
ACC2864,Desai Pharmaceuticals,Financial Services,Sneha Srivastava,2026-02-25,CRM
ACC2101,Bose Textiles,Financial Services,Radha Banerjee,2026-04-14,CRM
ACC2739,Mishra Healthcare,Construction,Usha Yadav,2026-01-02,CRM
ACC2391,Banerjee Healthcare,Healthcare,Suresh Patel,2026-02-21,CRM
ACC2888,Mehta Traders,Financial Services,Dinesh Chopra,2026-06-12,CRM
ACC2934,Srivastava Logistics,Technology,Vikram Bose,2026-05-14,CRM
ACC2501,Gupta Textiles,Transportation,Radha Chopra,2026-01-25,CRM
ACC2747,Nair Technologies,Manufacturing,Meera Nair,2026-06-19,CRM
ACC2673,Srivastava Traders,Construction,Arjun Pandey,2026-02-07,CRM
ACC2377,Verma Consulting,Financial Services,Prakash Menon,2026-03-02,CRM
ACC2837,Yadav Industries,Retail,Jane Nair,2026-03-15,CRM
ACC2184,Menon Pharmaceuticals,Transportation,Sachin Sharma,2026-06-02,CRM
ACC2018,Patel Consulting,Financial Services,Vikram Dubey,2026-04-13,CRM
ACC2086,Menon Technologies,Construction,Manish Bajaj,2026-03-27,CRM
ACC2949,Bose Logistics,Transportation,Lakshmi Pandey,2026-04-26,CRM
ACC2723,Desai Traders,Transportation,Krishna Kumar,2026-03-10,CRM
ACC2476,Singh Finance,Retail,Rajesh Banerjee,2026-03-15,CRM
ACC2697,Agrawal Foods,Healthcare,Anjali Gupta,2026-06-06,CRM
ACC2099,Menon Industries,Transportation,Arvind Desai,2026-03-26,CRM
ACC2532,Joshi Industries,Healthcare,Neha Singh,2026-06-02,CRM
ACC2265,Nair Enterprises,Transportation,Usha Menon,2026-02-09,CRM
ACC2399,Dubey Traders,Technology,Vijay Reddy,2026-03-17,CRM
ACC2655,Joshi Services,Manufacturing,Dinesh Shah,2026-05-24,CRM
ACC2537,Reddy Consulting,Transportation,Pooja Nair,2026-03-24,CRM
ACC2253,Dubey Pharmaceuticals,Retail,Krishna Malhotra,2026-03-17,CRM
ACC2714,Das Industries,Transportation,Vijay Pandey,2026-05-18,CRM
ACC2029,Menon Traders,Manufacturing,Ravi Banerjee,2026-01-01,CRM
ACC2146,Pandey Services,Transportation,Meera Nair,2026-03-04,CRM
ACC2341,Verma Consulting,Retail,Sunita Kapoor,2026-03-29,CRM
ACC2745,Bajaj Logistics,Manufacturing,Nisha Pandey,2026-01-22,CRM
ACC2196,Yadav Consulting,Construction,Anita Patel,2026-05-01,CRM
ACC2516,Bose Healthcare,Transportation,Geeta Verma,2026-05-30,CRM
ACC2886,Chopra Textiles,Technology,Arjun Joshi,2026-04-28,CRM
ACC2389,Yadav Solutions,Manufacturing,Manish Dubey,2026-06-28,CRM
ACC2113,Das Healthcare,Construction,Sneha Shukla,2026-06-17,CRM
ACC2134,Malhotra Textiles,Technology,Usha Sharma,2026-05-25,CRM
ACC2032,Yadav Traders,Technology,Anjali Desai,2026-05-16,CRM
ACC2045,Shah Enterprises,Technology,Rekha Krishnan,2026-05-28,CRM
ACC2434,Patel Solutions,Retail,Neha Gupta,2026-05-28,CRM
ACC2430,Mehta Retail,Financial Services,Krishna Joshi,2026-02-02,CRM
ACC2767,Menon Traders,Financial Services,Sneha Bose,2026-02-24,CRM
ACC2687,Srivastava Group,Financial Services,Deepak Kumar,2026-01-24,CRM
ACC2346,Chopra Industries,Technology,Sandeep Gupta,2026-06-23,CRM
ACC2199,Menon Logistics,Financial Services,Lakshmi Desai,2026-06-21,CRM
ACC2362,Bose Foods,Manufacturing,Arvind Desai,2026-04-29,CRM
ACC2026,Reddy Pharmaceuticals,Technology,Sneha Das,2026-03-06,CRM
ACC2281,Desai Retail,Technology,Geeta Yadav,2026-01-28,CRM
ACC2173,Srivastava Consulting,Manufacturing,Arjun Mehta,2026-01-27,CRM
ACC2373,Shah Traders,Healthcare,Sandeep Mishra,2026-03-15,CRM
ACC2260,Malhotra Foods,Construction,Rajesh Chopra,2026-06-15,CRM
ACC2927,Pandey Enterprises,Healthcare,Ravi Shah,2026-02-10,CRM
ACC2051,Iyer Pharmaceuticals,Construction,Vijay Kumar,2026-01-20,CRM
ACC2544,Srivastava Healthcare,Financial Services,Lakshmi Singh,2026-02-06,CRM
ACC2511,Bose Services,Construction,Usha Mishra,2026-03-05,CRM
ACC2685,Srivastava Traders,Manufacturing,Ravi Malhotra,2026-04-27,CRM
ACC2342,Mehta Traders,Healthcare,John Agrawal,2026-03-05,CRM
ACC2070,Singh Logistics,Financial Services,Meera Bajaj,2026-02-10,CRM
ACC2795,Sharma Enterprises,Technology,Manish Tiwari,2026-04-11,CRM
ACC2505,Desai Enterprises,Construction,Krishna Mehta,2026-01-16,CRM
ACC2344,Malhotra Finance,Manufacturing,Rohit Desai,2026-04-15,CRM
ACC2917,Agrawal Industries,Transportation,John Yadav,2026-01-26,CRM
ACC2490,Yadav Industries,Transportation,Sunita Malhotra,2026-05-27,CRM
ACC2316,Verma Technologies,Manufacturing,Priya Chopra,2026-04-21,CRM
ACC2284,Das Textiles,Transportation,Lakshmi Srivastava,2026-01-28,CRM
ACC2286,Shah Industries,Construction,Pooja Reddy,2026-03-12,CRM
ACC2371,Gupta Logistics,Construction,Alok Das,2026-01-08,CRM
ACC2091,Bose Healthcare,Manufacturing,Vikram Sharma,2026-03-26,CRM
ACC2247,Yadav Enterprises,Retail,Krishna Bose,2026-06-18,CRM
ACC2901,Tiwari Traders,Construction,Vikram Singh,2026-01-06,CRM
ACC2282,Singh Foods,Healthcare,Geeta Agrawal,2026-06-18,CRM
ACC2753,Banerjee Pharmaceuticals,Financial Services,Rekha Kapoor,2026-01-31,CRM
ACC2899,Bajaj Pharmaceuticals,Financial Services,Arjun Chopra,2026-02-18,CRM
ACC2203,Das Services,Technology,Ravi Yadav,2026-01-01,CRM
ACC2458,Chopra Consulting,Manufacturing,Arjun Pandey,2026-05-13,CRM
ACC2608,Reddy Healthcare,Manufacturing,Dinesh Reddy,2026-01-28,CRM
ACC2187,Mishra Group,Construction,Sanjay Bose,2026-04-19,CRM
ACC2755,Joshi Services,Retail,Mala Patel,2026-03-25,CRM
ACC2729,Tiwari Retail,Healthcare,Ravi Singh,2026-01-12,CRM
ACC2274,Joshi Services,Retail,Rekha Nair,2026-03-01,CRM
ACC2830,Joshi Traders,Healthcare,Rekha Mishra,2026-04-19,CRM
ACC2129,Desai Finance,Retail,Lakshmi Sharma,2026-04-10,CRM
ACC2299,Shah Solutions,Manufacturing,Radha Joshi,2026-02-27,CRM
ACC2730,Patel Pharmaceuticals,Financial Services,Rahul Singh,2026-04-09,CRM
ACC2651,Menon Traders,Manufacturing,Anita Das,2026-06-12,CRM
ACC2923,Iyer Group,Transportation,Geeta Reddy,2026-01-24,CRM
ACC2484,Verma Foods,Transportation,Shalini Shah,2026-05-31,CRM
ACC2349,Desai Finance,Transportation,Anjali Malhotra,2026-06-28,CRM
ACC2161,Krishnan Consulting,Construction,Nisha Shukla,2026-06-26,CRM
ACC2521,Patel Textiles,Financial Services,Sanjay Gupta,2026-06-29,CRM
ACC2335,Desai Retail,Healthcare,Sanjay Patel,2026-03-21,CRM
ACC2192,Krishnan Pharmaceuticals,Manufacturing,Shalini Agrawal,2026-01-21,CRM
ACC2471,Srivastava Enterprises,Transportation,Lakshmi Srivastava,2026-01-16,CRM
ACC2660,Kapoor Foods,Transportation,Sachin Yadav,2026-05-07,CRM
ACC2384,Agrawal Retail,Healthcare,Radha Mishra,2026-04-10,CRM
ACC2603,Gupta Enterprises,Technology,Sneha Yadav,2026-03-04,CRM
ACC2295,Shah Retail,Healthcare,Rohit Mishra,2026-05-31,CRM
ACC2536,Banerjee Healthcare,Retail,Arjun Agrawal,2026-05-28,CRM
ACC2002,Menon Technologies,Healthcare,John Nair,2026-01-24,CRM
ACC2096,Reddy Retail,Healthcare,Pooja Menon,2026-04-09,CRM
ACC2618,Banerjee Services,Transportation,Geeta Mishra,2026-01-18,CRM
ACC2209,Krishnan Textiles,Healthcare,Rajesh Sharma,2026-02-27,CRM
ACC2278,Mishra Consulting,Construction,Rahul Desai,2026-05-31,CRM
