account_id,account_name,industry,account_owner,account_group,company_code,plant_id,material_group,created_ts,source_system
SAPACC5649,Patil Retail Ltd,Retail,Rohit Tiwari,AG001,COMP001,PLANT01,MG01,2026-03-07,SAP
SAPACC5498,Banerjee Foods Ltd,Technology,Rajiv Nair,AG002,COMP002,PLANT02,MG02,2026-02-10,SAP
SAPACC5333,Mishra Traders Ltd,Manufacturing,Karan Tiwari,AG005,COMP005,PLANT05,MG05,2026-03-02,SAP
SAPACC5052,Banerjee Pharmaceuticals Ltd,Manufacturing,Arvind Menon,AG004,COMP004,PLANT04,MG04,2026-03-20,SAP
SAPACC5204,Sharma Textiles Ltd,Healthcare,Meera Srivastava,AG004,COMP004,PLANT04,MG04,2026-02-28,SAP
SAPACC5473,Desai Logistics Ltd,Financial Services,Prakash Iyer,AG001,COMP001,PLANT01,MG01,2026-03-13,SAP
SAPACC5621,Pandey Retail Ltd,Healthcare,Ramesh Kapoor,AG005,COMP005,PLANT05,MG05,2026-02-03,SAP
SAPACC5670,Sharma Retail Ltd,Healthcare,Pooja Mehta,AG006,COMP006,PLANT06,MG06,2026-02-18,SAP
SAPACC5229,Pandey Pharmaceuticals Ltd,Transportation,Neha Kaur,AG005,COMP005,PLANT05,MG05,2026-01-19,SAP
SAPACC5152,Pandey Logistics Ltd,Transportation,Seema Chopra,AG008,COMP008,PLANT08,MG08,2026-03-11,SAP
SAPACC5405,Verma Foods Ltd,Technology,Vinod Bajaj,AG005,COMP005,PLANT05,MG05,2026-01-28,SAP
SAPACC5665,Kaur Logistics Ltd,Transportation,Sunita Menon,AG001,COMP001,PLANT01,MG01,2026-02-18,SAP
SAPACC5245,Dubey Consulting Ltd,Technology,Sunita Rao,AG005,COMP005,PLANT05,MG05,2026-02-28,SAP
SAPACC5866,Joshi Pharmaceuticals Ltd,Financial Services,Arjun Kaur,AG002,COMP002,PLANT02,MG02,2026-03-03,SAP
SAPACC5062,Gupta Finance Ltd,Manufacturing,Divya Shah,AG006,COMP006,PLANT06,MG06,2026-02-25,SAP
SAPACC5095,Banerjee Foods Ltd,Transportation,Seema Yadav,AG007,COMP007,PLANT07,MG07,2026-02-22,SAP
SAPACC5713,Sharma Solutions Ltd,Financial Services,Arjun Shah,AG001,COMP001,PLANT01,MG01,2026-01-18,SAP
SAPACC5194,Joshi Finance Ltd,Transportation,Karan Verma,AG002,COMP002,PLANT02,MG02,2026-01-21,SAP
SAPACC5839,Guptha Traders Ltd,Manufacturing,Anita Kapoor,AG007,COMP007,PLANT07,MG07,2026-02-18,SAP
SAPACC5216,Pandey Consulting Ltd,Technology,Jane Mishra,AG008,COMP008,PLANT08,MG08,2026-02-18,SAP
SAPACC5805,Kaur Enterprises Ltd,Manufacturing,Rajiv Mehta,AG005,COMP005,PLANT05,MG05,2026-02-28,SAP
SAPACC5624,Iyer Solutions Ltd,Manufacturing,Meena Patil,AG008,COMP008,PLANT08,MG08,2026-03-20,SAP
SAPACC5201,Iyer Retail Ltd,Retail,Deepak Verma,AG001,COMP001,PLANT01,MG01,2026-03-24,SAP
SAPACC5077,Rao Textiles Ltd,Financial Services,Anjali Banerjee,AG005,COMP005,PLANT05,MG05,2026-01-13,SAP
SAPACC5406,Patil Enterprises Ltd,Healthcare,Ravi Patel,AG006,COMP006,PLANT06,MG06,2026-01-21,SAP
SAPACC5582,Patel Logistics Ltd,Manufacturing,Lakshmi Verma,AG006,COMP006,PLANT06,MG06,2026-01-28,SAP
SAPACC5628,Bajaj Consulting Ltd,Transportation,John Menon,AG004,COMP004,PLANT04,MG04,2026-02-26,SAP
SAPACC5351,Menon Pharmaceuticals Ltd,Transportation,Rajiv Rao,AG007,COMP007,PLANT07,MG07,2026-03-27,SAP
SAPACC5185,Patel Technologies Ltd,Manufacturing,Ajay Srivastava,AG001,COMP001,PLANT01,MG01,2026-03-07,SAP
SAPACC5344,Agarwal Services Ltd,Healthcare,Lakshmi Bajaj,AG008,COMP008,PLANT08,MG08,2026-03-12,SAP
SAPACC5225,Mehta Retail Ltd,Manufacturing,Vinod Pandey,AG001,COMP001,PLANT01,MG01,2026-03-05,SAP
SAPACC5349,Tiwari Traders Ltd,Healthcare,Priya Joshi,AG005,COMP005,PLANT05,MG05,2026-03-21,SAP
SAPACC5275,Sharma Technologies Ltd,Healthcare,Sunita Menon,AG003,COMP003,PLANT03,MG03,2026-02-11,SAP
SAPACC5904,Singh Healthcare Ltd,Financial Services,Anita Chopra,AG008,COMP008,PLANT08,MG08,2026-03-27,SAP
SAPACC5692,Kaur Retail Ltd,Technology,Arjun Agarwal,AG004,COMP004,PLANT04,MG04,2026-02-20,SAP
SAPACC5814,Iyer Textiles Ltd,Healthcare,Meera Dubey,AG006,COMP006,PLANT06,MG06,2026-01-10,SAP
SAPACC5767,Patel Industries Ltd,Retail,John Pandey,AG007,COMP007,PLANT07,MG07,2026-01-09,SAP
SAPACC5776,Desai Consulting Ltd,Retail,Harish Menon,AG008,COMP008,PLANT08,MG08,2026-01-28,SAP
SAPACC5626,Kaur Foods Ltd,Retail,Rekha Guptha,AG002,COMP002,PLANT02,MG02,2026-03-05,SAP
SAPACC5397,Pandey Technologies Ltd,Transportation,Amit Tiwari,AG005,COMP005,PLANT05,MG05,2026-01-17,SAP
SAPACC5450,Mishra Enterprises Ltd,Financial Services,Sneha Kapoor,AG002,COMP002,PLANT02,MG02,2026-01-24,SAP
SAPACC5024,Menon Retail Ltd,Transportation,Arvind Rao,AG008,COMP008,PLANT08,MG08,2026-03-24,SAP
SAPACC5264,Mehta Consulting Ltd,Transportation,Harish Joshi,AG008,COMP008,PLANT08,MG08,2026-02-04,SAP
SAPACC5532,Tiwari Solutions Ltd,Transportation,Sachin Joshi,AG004,COMP004,PLANT04,MG04,2026-02-23,SAP
SAPACC5594,Patel Solutions Ltd,Transportation,Harish Shah,AG002,COMP002,PLANT02,MG02,2026-01-22,SAP
SAPACC5515,Verma Enterprises Ltd,Financial Services,Sunita Reddy,AG003,COMP003,PLANT03,MG03,2026-03-31,SAP
SAPACC5938,Singh Textiles Ltd,Retail,Ravi Shah,AG002,COMP002,PLANT02,MG02,2026-02-26,SAP
SAPACC5712,Yadav Pharmaceuticals Ltd,Financial Services,Rekha Mishra,AG008,COMP008,PLANT08,MG08,2026-03-11,SAP
SAPACC5759,Joshi Foods Ltd,Financial Services,Shalini Sharma,AG007,COMP007,PLANT07,MG07,2026-03-31,SAP
SAPACC5797,Malhotra Traders Ltd,Financial Services,Sunil Reddy,AG005,COMP005,PLANT05,MG05,2026-02-17,SAP
SAPACC5147,Reddy Pharmaceuticals Ltd,Manufacturing,Sachin Bajaj,AG003,COMP003,PLANT03,MG03,2026-01-04,SAP
SAPACC5151,Kapoor Traders Ltd,Healthcare,Arjun Mishra,AG007,COMP007,PLANT07,MG07,2026-02-12,SAP
SAPACC5109,Mishra Healthcare Ltd,Healthcare,Vikas Singh,AG005,COMP005,PLANT05,MG05,2026-02-14,SAP
SAPACC5273,Reddy Finance Ltd,Transportation,Rekha Tiwari,AG001,COMP001,PLANT01,MG01,2026-03-22,SAP
SAPACC5328,Kaur Consulting Ltd,Financial Services,Rekha Mishra,AG008,COMP008,PLANT08,MG08,2026-01-05,SAP
SAPACC5757,Menon Traders Ltd,Financial Services,Prakash Sharma,AG005,COMP005,PLANT05,MG05,2026-03-13,SAP
SAPACC5538,Banerjee Industries Ltd,Technology,Rahul Malhotra,AG002,COMP002,PLANT02,MG02,2026-03-11,SAP
SAPACC5259,Verma Retail Ltd,Manufacturing,Jane Kapoor,AG003,COMP003,PLANT03,MG03,2026-01-08,SAP
SAPACC5234,Singh Solutions Ltd,Healthcare,Prakash Banerjee,AG002,COMP002,PLANT02,MG02,2026-03-28,SAP
SAPACC5635,Guptha Textiles Ltd,Healthcare,Ramesh Mehta,AG003,COMP003,PLANT03,MG03,2026-02-20,SAP
SAPACC5454,Iyer Solutions Ltd,Transportation,Anita Malhotra,AG006,COMP006,PLANT06,MG06,2026-01-11,SAP
SAPACC5566,Guptha Textiles Ltd,Transportation,Harish Mishra,AG006,COMP006,PLANT06,MG06,2026-02-23,SAP
SAPACC5645,Kaur Consulting Ltd,Healthcare,Neha Sharma,AG005,COMP005,PLANT05,MG05,2026-03-29,SAP
SAPACC5831,Reddy Logistics Ltd,Financial Services,Divya Nair,AG007,COMP007,PLANT07,MG07,2026-03-02,SAP
SAPACC5718,Singh Logistics Ltd,Retail,Rekha Verma,AG006,COMP006,PLANT06,MG06,2026-01-02,SAP
SAPACC5287,Kaur Consulting Ltd,Financial Services,Lakshmi Patil,AG007,COMP007,PLANT07,MG07,2026-02-06,SAP
SAPACC5817,Kumar Industries Ltd,Manufacturing,Lakshmi Kapoor,AG001,COMP001,PLANT01,MG01,2026-03-16,SAP
SAPACC5227,Kapoor Traders Ltd,Healthcare,Shalini Kapoor,AG003,COMP003,PLANT03,MG03,2026-01-03,SAP
SAPACC5702,Rao Enterprises Ltd,Healthcare,Anita Kaur,AG006,COMP006,PLANT06,MG06,2026-01-24,SAP
SAPACC5250,Kapoor Technologies Ltd,Retail,Meera Kaur,AG002,COMP002,PLANT02,MG02,2026-03-02,SAP
SAPACC5029,Yadav Logistics Ltd,Healthcare,John Verma,AG005,COMP005,PLANT05,MG05,2026-03-19,SAP
SAPACC5248,Chopra Finance Ltd,Healthcare,Arvind Singh,AG008,COMP008,PLANT08,MG08,2026-02-08,SAP
SAPACC5546,Chopra Pharmaceuticals Ltd,Financial Services,Jane Mishra,AG002,COMP002,PLANT02,MG02,2026-02-02,SAP
SAPACC5226,Desai Finance Ltd,Technology,Kavita Agarwal,AG002,COMP002,PLANT02,MG02,2026-01-26,SAP
SAPACC5480,Kumar Logistics Ltd,Retail,Sachin Agarwal,AG008,COMP008,PLANT08,MG08,2026-03-06,SAP
SAPACC5177,Sharma Consulting Ltd,Healthcare,Vinay Chopra,AG001,COMP001,PLANT01,MG01,2026-02-13,SAP
SAPACC5807,Gupta Traders Ltd,Manufacturing,Meera Kaur,AG007,COMP007,PLANT07,MG07,2026-02-25,SAP
SAPACC5510,Agarwal Logistics Ltd,Healthcare,Anita Pandey,AG006,COMP006,PLANT06,MG06,2026-01-24,SAP
SAPACC5179,Patil Foods Ltd,Financial Services,Anita Chopra,AG003,COMP003,PLANT03,MG03,2026-02-01,SAP
SAPACC5894,Verma Logistics Ltd,Manufacturing,Jane Gupta,AG006,COMP006,PLANT06,MG06,2026-01-15,SAP
SAPACC5729,Shah Solutions Ltd,Transportation,Karan Guptha,AG001,COMP001,PLANT01,MG01,2026-02-14,SAP
SAPACC5549,Iyer Textiles Ltd,Retail,Alok Malhotra,AG005,COMP005,PLANT05,MG05,2026-03-18,SAP
SAPACC5838,Patel Textiles Ltd,Retail,Prakash Sharma,AG006,COMP006,PLANT06,MG06,2026-03-06,SAP
SAPACC5117,Kapoor Enterprises Ltd,Transportation,Manish Shah,AG005,COMP005,PLANT05,MG05,2026-02-22,SAP
SAPACC5271,Joshi Traders Ltd,Transportation,Amit Shah,AG007,COMP007,PLANT07,MG07,2026-01-30,SAP
SAPACC5085,Yadav Logistics Ltd,Healthcare,Arvind Shah,AG005,COMP005,PLANT05,MG05,2026-01-17,SAP
SAPACC5524,Malhotra Technologies Ltd,Retail,Rahul Tiwari,AG004,COMP004,PLANT04,MG04,2026-03-21,SAP
SAPACC5491,Menon Enterprises Ltd,Transportation,Vinod Iyer,AG003,COMP003,PLANT03,MG03,2026-01-01,SAP
SAPACC5911,Chopra Retail Ltd,Manufacturing,Prakash Pandey,AG007,COMP007,PLANT07,MG07,2026-03-15,SAP
SAPACC5721,Tiwari Retail Ltd,Retail,Vinod Guptha,AG001,COMP001,PLANT01,MG01,2026-02-28,SAP
SAPACC5369,Bajaj Enterprises Ltd,Transportation,Jane Patil,AG001,COMP001,PLANT01,MG01,2026-02-05,SAP
SAPACC5019,Pandey Foods Ltd,Retail,Divya Rao,AG003,COMP003,PLANT03,MG03,2026-03-28,SAP
SAPACC5513,Gupta Finance Ltd,Technology,Ravi Mehta,AG001,COMP001,PLANT01,MG01,2026-01-13,SAP
SAPACC5690,Sharma Finance Ltd,Healthcare,Arjun Kapoor,AG002,COMP002,PLANT02,MG02,2026-03-08,SAP
SAPACC5494,Bajaj Consulting Ltd,Technology,Sachin Pandey,AG006,COMP006,PLANT06,MG06,2026-02-08,SAP
SAPACC5416,Singh Pharmaceuticals Ltd,Retail,Ramesh Bajaj,AG008,COMP008,PLANT08,MG08,2026-02-17,SAP
SAPACC5544,Banerjee Solutions Ltd,Manufacturing,Priya Mishra,AG008,COMP008,PLANT08,MG08,2026-03-03,SAP
SAPACC5535,Kapoor Healthcare Ltd,Manufacturing,Anjali Bajaj,AG007,COMP007,PLANT07,MG07,2026-03-16,SAP
SAPACC5080,Tiwari Textiles Ltd,Transportation,Amit Dubey,AG008,COMP008,PLANT08,MG08,2026-01-01,SAP
SAPACC5862,Banerjee Enterprises Ltd,Healthcare,Sneha Joshi,AG006,COMP006,PLANT06,MG06,2026-02-07,SAP
SAPACC5448,Dubey Finance Ltd,Financial Services,Sunil Bajaj,AG008,COMP008,PLANT08,MG08,2026-02-23,SAP
SAPACC5092,Kumar Industries Ltd,Retail,Vinod Srivastava,AG004,COMP004,PLANT04,MG04,2026-01-27,SAP
SAPACC5035,Nair Industries Ltd,Financial Services,Anita Nair,AG003,COMP003,PLANT03,MG03,2026-03-06,SAP
SAPACC5764,Gupta Textiles Ltd,Healthcare,Kavita Nair,AG004,COMP004,PLANT04,MG04,2026-03-09,SAP
SAPACC5240,Joshi Foods Ltd,Retail,Rahul Malhotra,AG008,COMP008,PLANT08,MG08,2026-02-21,SAP
SAPACC5624,Iyer Solutions Ltd,Manufacturing,Meena Patil,AG008,COMP008,PLANT08,MG08,2026-03-20,SAP
SAPACC5483,Malhotra Technologies Ltd,Transportation,Harish Banerjee,AG003,COMP003,PLANT03,MG03,2026-02-23,SAP
SAPACC5076,Rao Technologies Ltd,Technology,Ramesh Verma,AG004,COMP004,PLANT04,MG04,2026-03-18,SAP
SAPACC5326,Singh Healthcare Ltd,Manufacturing,Anita Iyer,AG006,COMP006,PLANT06,MG06,2026-02-03,SAP
SAPACC5347,Joshi Consulting Ltd,Healthcare,Shreya Nair,AG003,COMP003,PLANT03,MG03,2026-01-16,SAP
SAPACC5753,Pandey Industries Ltd,Technology,Vikas Kumar,AG001,COMP001,PLANT01,MG01,2026-03-19,SAP
SAPACC5205,Iyer Pharmaceuticals Ltd,Transportation,Harish Guptha,AG005,COMP005,PLANT05,MG05,2026-01-10,SAP
SAPACC5921,Shah Logistics Ltd,Transportation,Arjun Kaur,AG001,COMP001,PLANT01,MG01,2026-03-17,SAP
SAPACC5139,Patel Industries Ltd,Healthcare,Deepak Malhotra,AG003,COMP003,PLANT03,MG03,2026-01-25,SAP
SAPACC5353,Chopra Logistics Ltd,Financial Services,Vinay Tiwari,AG001,COMP001,PLANT01,MG01,2026-01-28,SAP
SAPACC5161,Shah Consulting Ltd,Manufacturing,Sunil Kumar,AG001,COMP001,PLANT01,MG01,2026-01-22,SAP
SAPACC5941,Mishra Traders Ltd,Financial Services,Deepak Verma,AG005,COMP005,PLANT05,MG05,2026-02-20,SAP
SAPACC5604,Patil Textiles Ltd,Financial Services,Meena Banerjee,AG004,COMP004,PLANT04,MG04,2026-02-13,SAP
SAPACC5407,Agarwal Services Ltd,Technology,Shreya Desai,AG007,COMP007,PLANT07,MG07,2026-03-27,SAP
SAPACC5794,Pandey Technologies Ltd,Retail,Prakash Mishra,AG002,COMP002,PLANT02,MG02,2026-01-07,SAP
SAPACC5734,Tiwari Consulting Ltd,Financial Services,Vinay Joshi,AG006,COMP006,PLANT06,MG06,2026-03-11,SAP
SAPACC5707,Pandey Enterprises Ltd,Healthcare,Jane Yadav,AG003,COMP003,PLANT03,MG03,2026-03-12,SAP
SAPACC5868,Iyer Traders Ltd,Financial Services,Lakshmi Iyer,AG004,COMP004,PLANT04,MG04,2026-03-20,SAP
SAPACC5291,Patil Finance Ltd,Technology,Arvind Kaur,AG003,COMP003,PLANT03,MG03,2026-01-23,SAP
SAPACC5038,Kaur Consulting Ltd,Retail,Arjun Dubey,AG006,COMP006,PLANT06,MG06,2026-01-15,SAP
SAPACC5642,Rao Healthcare Ltd,Technology,Vinay Patel,AG002,COMP002,PLANT02,MG02,2026-01-02,SAP
SAPACC5458,Yadav Services Ltd,Technology,Sunil Rao,AG002,COMP002,PLANT02,MG02,2026-01-16,SAP
SAPACC5511,Kaur Pharmaceuticals Ltd,Financial Services,Amit Verma,AG007,COMP007,PLANT07,MG07,2026-03-28,SAP
SAPACC5075,Kapoor Industries Ltd,Financial Services,Meera Srivastava,AG003,COMP003,PLANT03,MG03,2026-01-09,SAP
SAPACC5167,Pandey Industries Ltd,Technology,Arjun Agarwal,AG007,COMP007,PLANT07,MG07,2026-02-27,SAP
SAPACC5120,Reddy Logistics Ltd,Retail,Sunil Verma,AG008,COMP008,PLANT08,MG08,2026-03-17,SAP
SAPACC5172,Yadav Consulting Ltd,Transportation,Rohit Bajaj,AG004,COMP004,PLANT04,MG04,2026-02-20,SAP
SAPACC5442,Sharma Textiles Ltd,Technology,Pooja Desai,AG002,COMP002,PLANT02,MG02,2026-01-11,SAP
SAPACC5570,Patel Logistics Ltd,Transportation,Vinay Banerjee,AG002,COMP002,PLANT02,MG02,2026-03-30,SAP
SAPACC5518,Mishra Logistics Ltd,Financial Services,Seema Joshi,AG006,COMP006,PLANT06,MG06,2026-01-06,SAP
SAPACC5389,Reddy Industries Ltd,Manufacturing,Ajay Desai,AG005,COMP005,PLANT05,MG05,2026-03-13,SAP
SAPACC5669,Rao Traders Ltd,Manufacturing,Shalini Tiwari,AG005,COMP005,PLANT05,MG05,2026-01-07,SAP
SAPACC5225,Mehta Retail Ltd,Manufacturing,Vinod Pandey,AG001,COMP001,PLANT01,MG01,2026-03-05,SAP
SAPACC5778,Mehta Finance Ltd,Financial Services,Sunil Yadav,AG002,COMP002,PLANT02,MG02,2026-03-23,SAP
SAPACC5902,Agarwal Finance Ltd,Transportation,Seema Kaur,AG006,COMP006,PLANT06,MG06,2026-03-16,SAP
SAPACC5947,Bajaj Technologies Ltd,Retail,Prakash Desai,AG003,COMP003,PLANT03,MG03,2026-01-18,SAP
SAPACC5427,Tiwari Services Ltd,Technology,Sunita Chopra,AG003,COMP003,PLANT03,MG03,2026-01-27,SAP
SAPACC5575,Iyer Logistics Ltd,Healthcare,Vikas Gupta,AG007,COMP007,PLANT07,MG07,2026-01-10,SAP
SAPACC5129,Gupta Foods Ltd,Healthcare,Rekha Chopra,AG001,COMP001,PLANT01,MG01,2026-03-31,SAP
SAPACC5241,Malhotra Logistics Ltd,Transportation,Rahul Malhotra,AG001,COMP001,PLANT01,MG01,2026-03-31,SAP
SAPACC5451,Dubey Solutions Ltd,Financial Services,Shreya Agarwal,AG003,COMP003,PLANT03,MG03,2026-02-12,SAP
SAPACC5002,Mehta Services Ltd,Manufacturing,Arvind Desai,AG002,COMP002,PLANT02,MG02,2026-01-18,SAP
SAPACC5290,Sharma Technologies Ltd,Transportation,Arjun Chopra,AG002,COMP002,PLANT02,MG02,2026-01-03,SAP
SAPACC5851,Reddy Healthcare Ltd,Financial Services,Sunil Mehta,AG003,COMP003,PLANT03,MG03,2026-03-28,SAP
SAPACC5210,Bajaj Consulting Ltd,Manufacturing,Lakshmi Singh,AG002,COMP002,PLANT02,MG02,2026-02-14,SAP
SAPACC5338,Srivastava Retail Ltd,Retail,Jane Mehta,AG002,COMP002,PLANT02,MG02,2026-03-29,SAP
SAPACC5051,Joshi Traders Ltd,Healthcare,Rohit Verma,AG003,COMP003,PLANT03,MG03,2026-01-09,SAP
SAPACC5334,Menon Solutions Ltd,Retail,Rohit Pandey,AG006,COMP006,PLANT06,MG06,2026-03-25,SAP
SAPACC5402,Guptha Services Ltd,Healthcare,Sanjay Tiwari,AG002,COMP002,PLANT02,MG02,2026-03-28,SAP
SAPACC5548,Shah Consulting Ltd,Financial Services,Vinay Menon,AG004,COMP004,PLANT04,MG04,2026-03-27,SAP
SAPACC5748,Tiwari Solutions Ltd,Retail,Ajay Verma,AG004,COMP004,PLANT04,MG04,2026-01-09,SAP
SAPACC5727,Mishra Technologies Ltd,Manufacturing,Priya Pandey,AG007,COMP007,PLANT07,MG07,2026-03-22,SAP
SAPACC5379,Desai Healthcare Ltd,Retail,Priya Guptha,AG003,COMP003,PLANT03,MG03,2026-02-06,SAP
SAPACC5744,Mishra Healthcare Ltd,Manufacturing,Arvind Kumar,AG008,COMP008,PLANT08,MG08,2026-01-05,SAP
SAPACC5457,Patil Textiles Ltd,Transportation,Divya Rao,AG001,COMP001,PLANT01,MG01,2026-02-02,SAP
SAPACC5559,Reddy Traders Ltd,Transportation,Meena Chopra,AG007,COMP007,PLANT07,MG07,2026-02-04,SAP
