account_id,account_name,industry,account_owner,account_code,tax_id,region_code,created_ts,source_system
EACC5402,Joshi Finance,Financial Services,Jane Rao,AC402,TAX402,West,2025-08-13 00:00:00,ERP
EACC5531,Patel Consulting,Manufacturing,Ravi Malhotra,AC531,TAX531,West,2025-04-27 00:00:00,ERP
EACC5518,Kaur Textiles,Financial Services,Rahul Singh,AC518,TAX518,North,2025-01-11 00:00:00,ERP
EACC5474,Tiwari Consulting,Retail,Sunita Iyer,AC474,TAX474,South,2025-10-23 00:00:00,ERP
EACC5424,Joshi Services,Manufacturing,Anita Banerjee,AC424,TAX424,West,2026-02-05 00:00:00,ERP
EACC5013,Dubey Healthcare,Healthcare,Anita Dubey,AC013,TAX013,South,2024-03-06 00:00:00,ERP
EACC5366,Guptha Consulting,Manufacturing,Ravi Gupta,AC366,TAX366,South,2025-07-13 00:00:00,ERP
EACC5004,Patel Traders,Manufacturing,Kavita Yadav,AC004,TAX004,East,2025-08-09 00:00:00,ERP
EACC5405,Banerjee Foods,Financial Services,Rekha Guptha,AC405,TAX405,North,2024-04-07 00:00:00,ERP
EACC5179,Shah Industries,Financial Services,Sunita Kumar,AC179,TAX179,West,2024-11-27 00:00:00,ERP
EACC5753,Dubey Retail,Financial Services,Prakash Kumar,AC753,TAX753,Central,2024-05-24 00:00:00,ERP
EACC5473,Singh Finance,Transportation,Amit Desai,AC473,TAX473,South,2025-07-19 00:00:00,ERP
EACC5662,Kapoor Consulting,Manufacturing,Pooja Kumar,AC662,TAX662,East,2025-02-03 00:00:00,ERP
EACC5255,Yadav Finance,Healthcare,Rahul Kaur,AC255,TAX255,West,2025-04-09 00:00:00,ERP
EACC5052,Mishra Services,Retail,Sachin Dubey,AC052,TAX052,South,2026-02-27 00:00:00,ERP
EACC5409,Singh Technologies,Retail,Sanjay Srivastava,AC409,TAX409,North,2024-02-03 00:00:00,ERP
EACC5827,Tiwari Traders,Technology,Shreya Kapoor,AC827,TAX827,West,2026-03-09 00:00:00,ERP
EACC5666,Bajaj Technologies,Retail,Vikas Nair,AC666,TAX666,South,2024-01-14 00:00:00,ERP
EACC5167,Singh Textiles,Technology,Ramesh Nair,AC167,TAX167,West,2024-03-21 00:00:00,ERP
EACC5380,Desai Logistics,Retail,Suresh Tiwari,AC380,TAX380,West,2025-12-02 00:00:00,ERP
EACC5451,Desai Solutions,Healthcare,Vikas Tiwari,AC451,TAX451,Central,2024-10-02 00:00:00,ERP
EACC5151,Kumar Foods,Technology,Meena Singh,AC151,TAX151,Central,2025-05-18 00:00:00,ERP
EACC5770,Kumar Textiles,Transportation,Shreya Sharma,AC770,TAX770,East,2024-09-18 00:00:00,ERP
EACC5481,Kumar Technologies,Healthcare,Sunil Patel,AC481,TAX481,North,2025-08-11 00:00:00,ERP
EACC5442,Kumar Pharmaceuticals,Transportation,Amit Iyer,AC442,TAX442,East,2025-08-25 00:00:00,ERP
EACC5871,Patel Enterprises,Transportation,Deepak Rao,AC871,TAX871,West,2025-02-27 00:00:00,ERP
EACC5352,Mehta Textiles,Manufacturing,Arjun Pandey,AC352,TAX352,North,2025-05-06 00:00:00,ERP
EACC5737,Dubey Consulting,Transportation,John Mishra,AC737,TAX737,East,2025-02-25 00:00:00,ERP
EACC5037,Sharma Retail,Healthcare,Rajiv Bajaj,AC037,TAX037,South,2025-03-03 00:00:00,ERP
EACC5329,Guptha Industries,Healthcare,Vinay Singh,AC329,TAX329,West,2024-06-08 00:00:00,ERP
EACC5248,Mishra Traders,Technology,Vinod Guptha,AC248,TAX248,East,2024-08-23 00:00:00,ERP
EACC5501,Srivastava Traders,Retail,Rekha Shah,AC501,TAX501,Central,2024-08-12 00:00:00,ERP
EACC5560,Reddy Solutions,Manufacturing,Anita Shah,AC560,TAX560,West,2024-06-12 00:00:00,ERP
EACC5858,Yadav Textiles,Transportation,Arjun Joshi,AC858,TAX858,East,2025-02-02 00:00:00,ERP
EACC5462,Desai Foods,Financial Services,Harish Singh,AC462,TAX462,Central,2025-03-16 00:00:00,ERP
EACC5270,Verma Consulting,Healthcare,Pooja Mishra,AC270,TAX270,North,2024-03-11 00:00:00,ERP
EACC5877,Kumar Logistics,Technology,Sanjay Patel,AC877,TAX877,East,2024-10-09 00:00:00,ERP
EACC5087,Kapoor Foods,Manufacturing,Neha Banerjee,AC087,TAX087,Central,2026-02-18 00:00:00,ERP
EACC5675,Menon Traders,Retail,Harish Mishra,AC675,TAX675,South,2024-01-24 00:00:00,ERP
EACC5408,Iyer Consulting,Manufacturing,Anjali Bajaj,AC408,TAX408,West,2024-07-17 00:00:00,ERP
EACC5407,Chopra Technologies,Manufacturing,Shreya Banerjee,AC407,TAX407,West,2025-04-20 00:00:00,ERP
EACC5687,Malhotra Logistics,Technology,Vinod Yadav,AC687,TAX687,North,2025-05-20 00:00:00,ERP
EACC5661,Chopra Solutions,Healthcare,Shreya Dubey,AC661,TAX661,South,2025-10-17 00:00:00,ERP
EACC5513,Banerjee Technologies,Retail,Shalini Malhotra,AC513,TAX513,West,2025-10-25 00:00:00,ERP
EACC5885,Dubey Finance,Manufacturing,Sanjay Nair,AC885,TAX885,East,2025-09-14 00:00:00,ERP
EACC5776,Menon Healthcare,Transportation,Arvind Kapoor,AC776,TAX776,South,2024-02-16 00:00:00,ERP
EACC5829,Verma Enterprises,Financial Services,Sunil Kaur,AC829,TAX829,West,2025-11-08 00:00:00,ERP
EACC5624,Patel Enterprises,Financial Services,Ravi Pandey,AC624,TAX624,Central,2026-01-09 00:00:00,ERP
EACC5171,Joshi Pharmaceuticals,Healthcare,Jane Mishra,AC171,TAX171,South,2024-03-29 00:00:00,ERP
EACC5527,Patil Consulting,Manufacturing,Amit Agarwal,AC527,TAX527,Central,2024-05-18 00:00:00,ERP
EACC5252,Kumar Traders,Technology,Rajiv Desai,AC252,TAX252,West,2025-12-03 00:00:00,ERP
EACC5893,Tiwari Services,Technology,Lakshmi Joshi,AC893,TAX893,South,2025-01-01 00:00:00,ERP
EACC5918,Sharma Textiles,Technology,Rekha Shah,AC918,TAX918,North,2024-04-07 00:00:00,ERP
EACC5890,Chopra Healthcare,Financial Services,Anita Bajaj,AC890,TAX890,North,2024-11-03 00:00:00,ERP
EACC5852,Guptha Healthcare,Healthcare,Sneha Singh,AC852,TAX852,North,2024-05-19 00:00:00,ERP
EACC5685,Mishra Logistics,Financial Services,Rahul Sharma,AC685,TAX685,South,2024-10-17 00:00:00,ERP
EACC5443,Desai Industries,Manufacturing,Jane Verma,AC443,TAX443,West,2024-07-05 00:00:00,ERP
EACC5133,Tiwari Foods,Financial Services,Shreya Patel,AC133,TAX133,North,2025-12-07 00:00:00,ERP
EACC5842,Mishra Consulting,Transportation,Meena Gupta,AC842,TAX842,Central,2025-09-08 00:00:00,ERP
EACC5097,Kaur Healthcare,Healthcare,Rajiv Gupta,AC097,TAX097,East,2025-03-26 00:00:00,ERP
EACC5487,Pandey Technologies,Transportation,Sunita Pandey,AC487,TAX487,West,2024-05-12 00:00:00,ERP
EACC5668,Sharma Pharmaceuticals,Financial Services,Anjali Mehta,AC668,TAX668,West,2024-01-07 00:00:00,ERP
EACC5705,Nair Retail,Manufacturing,Sneha Kapoor,AC705,TAX705,East,2025-12-04 00:00:00,ERP
EACC5799,Banerjee Traders,Technology,Sachin Tiwari,AC799,TAX799,South,2024-06-21 00:00:00,ERP
EACC5092,Nair Pharmaceuticals,Retail,Vinod Shah,AC092,TAX092,East,2025-03-08 00:00:00,ERP
EACC5650,Dubey Technologies,Financial Services,Arjun Verma,AC650,TAX650,Central,2024-02-24 00:00:00,ERP
EACC5520,Shah Technologies,Technology,Vinod Tiwari,AC520,TAX520,West,2025-05-01 00:00:00,ERP
EACC5313,Singh Healthcare,Financial Services,Rohit Agarwal,AC313,TAX313,Central,2024-03-23 00:00:00,ERP
EACC5425,Singh Textiles,Manufacturing,Prakash Sharma,AC425,TAX425,South,2024-02-15 00:00:00,ERP
EACC5532,Banerjee Healthcare,Retail,Ramesh Tiwari,AC532,TAX532,South,2025-12-14 00:00:00,ERP
EACC5271,Gupta Consulting,Technology,Jane Iyer,AC271,TAX271,East,2025-02-26 00:00:00,ERP
EACC5931,Nair Logistics,Retail,Rekha Nair,AC931,TAX931,Central,2024-03-08 00:00:00,ERP
EACC5212,Rao Retail,Financial Services,Sunita Rao,AC212,TAX212,North,2024-02-06 00:00:00,ERP
EACC5908,Patil Enterprises,Technology,Shalini Desai,AC908,TAX908,North,2025-02-17 00:00:00,ERP
EACC5764,Rao Textiles,Retail,Ajay Menon,AC764,TAX764,East,2024-11-22 00:00:00,ERP
EACC5581,Chopra Services,Transportation,Priya Patil,AC581,TAX581,East,2026-03-08 00:00:00,ERP
EACC5133,Tiwari Foods,Financial Services,Shreya Patel,AC133,TAX133,North,2025-12-07 00:00:00,ERP
EACC5207,Patel Finance,Manufacturing,Lakshmi Patil,AC207,TAX207,South,2024-05-27 00:00:00,ERP
EACC5755,Gupta Solutions,Financial Services,Lakshmi Shah,AC755,TAX755,East,2024-03-10 00:00:00,ERP
EACC5857,Yadav Textiles,Manufacturing,Seema Banerjee,AC857,TAX857,West,2024-07-31 00:00:00,ERP
EACC5618,Yadav Finance,Transportation,Arjun Kaur,AC618,TAX618,East,2024-05-03 00:00:00,ERP
EACC5571,Verma Healthcare,Retail,Shalini Verma,AC571,TAX571,Central,2025-01-25 00:00:00,ERP
EACC5112,Joshi Foods,Manufacturing,Shreya Sharma,AC112,TAX112,East,2025-04-03 00:00:00,ERP
EACC5945,Joshi Foods,Transportation,Anita Mehta,AC945,TAX945,Central,2025-10-16 00:00:00,ERP
EACC5161,Tiwari Pharmaceuticals,Retail,Ajay Dubey,AC161,TAX161,South,2025-10-23 00:00:00,ERP
EACC5888,Bajaj Consulting,Retail,Ramesh Pandey,AC888,TAX888,East,2025-11-30 00:00:00,ERP
EACC5921,Kaur Solutions,Technology,Sachin Iyer,AC921,TAX921,East,2024-07-04 00:00:00,ERP
EACC5701,Mishra Retail,Healthcare,Priya Singh,AC701,TAX701,Central,2025-06-28 00:00:00,ERP
EACC5712,Singh Traders,Transportation,Meera Kaur,AC712,TAX712,West,2025-01-20 00:00:00,ERP
EACC5698,Tiwari Finance,Manufacturing,Arjun Kapoor,AC698,TAX698,West,2024-09-27 00:00:00,ERP
EACC5333,Gupta Healthcare,Retail,Ramesh Kapoor,AC333,TAX333,Central,2024-06-18 00:00:00,ERP
EACC5889,Chopra Textiles,Transportation,Shalini Srivastava,AC889,TAX889,South,2024-07-03 00:00:00,ERP
EACC5611,Banerjee Foods,Manufacturing,Prakash Banerjee,AC611,TAX611,Central,2024-09-24 00:00:00,ERP
EACC5516,Chopra Consulting,Transportation,Rahul Kumar,AC516,TAX516,East,2025-03-01 00:00:00,ERP
EACC5622,Shah Healthcare,Transportation,Prakash Sharma,AC622,TAX622,North,2026-02-14 00:00:00,ERP
EACC5667,Nair Industries,Healthcare,Ajay Guptha,AC667,TAX667,Central,2024-11-04 00:00:00,ERP
EACC5815,Kapoor Enterprises,Technology,Vinay Pandey,AC815,TAX815,West,2025-06-10 00:00:00,ERP
EACC5019,Joshi Finance,Technology,Shreya Nair,AC019,TAX019,North,2024-02-13 00:00:00,ERP
EACC5710,Yadav Solutions,Technology,Lakshmi Iyer,AC710,TAX710,South,2025-08-02 00:00:00,ERP
EACC5573,Menon Enterprises,Healthcare,Priya Desai,AC573,TAX573,East,2025-11-08 00:00:00,ERP
EACC5793,Shah Healthcare,Manufacturing,Arjun Mehta,AC793,TAX793,Central,2026-01-31 00:00:00,ERP
EACC5434,Reddy Services,Financial Services,Amit Tiwari,AC434,TAX434,Central,2024-10-18 00:00:00,ERP
EACC5936,Kapoor Consulting,Retail,Neha Srivastava,AC936,TAX936,West,2025-03-20 00:00:00,ERP
EACC5468,Guptha Retail,Retail,Rekha Menon,AC468,TAX468,West,2025-05-08 00:00:00,ERP
EACC5735,Bajaj Technologies,Transportation,Jane Tiwari,AC735,TAX735,South,2024-01-15 00:00:00,ERP
EACC5656,Gupta Traders,Transportation,Sneha Shah,AC656,TAX656,South,2024-07-09 00:00:00,ERP
EACC5853,Kumar Logistics,Financial Services,Vikas Pandey,AC853,TAX853,East,2025-12-23 00:00:00,ERP
EACC5500,Patel Foods,Technology,Prakash Patel,AC500,TAX500,South,2024-11-02 00:00:00,ERP
EACC5142,Reddy Enterprises,Manufacturing,Karan Mehta,AC142,TAX142,Central,2024-02-22 00:00:00,ERP
EACC5433,Joshi Logistics,Healthcare,Sunil Gupta,AC433,TAX433,North,2024-08-19 00:00:00,ERP
EACC5876,Patel Enterprises,Manufacturing,Prakash Sharma,AC876,TAX876,North,2025-04-30 00:00:00,ERP
EACC5372,Singh Enterprises,Retail,Neha Banerjee,AC372,TAX372,East,2025-03-08 00:00:00,ERP
EACC5262,Chopra Consulting,Healthcare,Rahul Menon,AC262,TAX262,East,2024-11-03 00:00:00,ERP
EACC5731,Mishra Finance,Manufacturing,Arjun Mehta,AC731,TAX731,North,2025-10-17 00:00:00,ERP
EACC5937,Kaur Logistics,Technology,Meera Malhotra,AC937,TAX937,Central,2025-08-17 00:00:00,ERP
EACC5628,Verma Pharmaceuticals,Transportation,Rajiv Singh,AC628,TAX628,North,2025-03-30 00:00:00,ERP
EACC5195,Chopra Pharmaceuticals,Transportation,Prakash Iyer,AC195,TAX195,East,2025-06-08 00:00:00,ERP
EACC5545,Patil Enterprises,Financial Services,Anjali Iyer,AC545,TAX545,Central,2025-12-04 00:00:00,ERP
EACC5596,Bajaj Consulting,Transportation,Rekha Sharma,AC596,TAX596,North,2024-11-04 00:00:00,ERP
EACC5588,Agarwal Services,Healthcare,Vikas Pandey,AC588,TAX588,South,2024-05-18 00:00:00,ERP
EACC5594,Iyer Logistics,Financial Services,Sneha Kaur,AC594,TAX594,West,2025-02-13 00:00:00,ERP
EACC5046,Srivastava Healthcare,Healthcare,Suresh Iyer,AC046,TAX046,Central,2024-06-05 00:00:00,ERP
