transaction_id,customer_id,account_id,transaction_type,amount,currency,document_number,company_code,plant_id,material_group,transaction_date,source_system
SAPTXN5729,SAP1729,SAPACC1729,Refund,33643,INR,DOC004,COMP001,PLANT01,MG01,2026-01-28,SAP
SAPTXN5673,SAP1673,SAPACC1673,Refund,23118,INR,DOC019,COMP001,PLANT01,MG01,2026-03-13,SAP
SAPTXN5015,SAP1015,SAPACC1015,Order,14610,INR,DOC006,COMP007,PLANT07,MG07,2026-01-20,SAP
SAPTXN5541,SAP1541,SAPACC1541,Refund,29042,INR,DOC002,COMP005,PLANT05,MG05,2026-03-18,SAP
SAPTXN5467,SAP1467,SAPACC1467,Refund,7872,INR,DOC009,COMP003,PLANT03,MG03,2026-03-08,SAP
SAPTXN5378,SAP1378,SAPACC1378,Refund,17634,INR,DOC012,COMP002,PLANT02,MG02,2026-02-02,SAP
SAPTXN5563,SAP1563,SAPACC1563,Invoice,5740,INR,DOC008,COMP003,PLANT03,MG03,2026-03-25,SAP
SAPTXN5177,SAP1177,SAPACC1177,Refund,19382,INR,DOC003,COMP001,PLANT01,MG01,2026-01-12,SAP
SAPTXN5690,SAP1690,SAPACC1690,Payment,14397,INR,DOC002,COMP002,PLANT02,MG02,2026-01-01,SAP
SAPTXN5522,SAP1522,SAPACC1522,Invoice,26813,INR,DOC008,COMP002,PLANT02,MG02,2026-02-14,SAP
SAPTXN5771,SAP1771,SAPACC1771,Refund,11786,INR,DOC007,COMP003,PLANT03,MG03,2026-01-16,SAP
SAPTXN5926,SAP1926,SAPACC1926,Order,39089,INR,DOC007,COMP006,PLANT06,MG06,2026-02-23,SAP
SAPTXN5735,SAP1735,SAPACC1735,Order,35201,INR,DOC018,COMP007,PLANT07,MG07,2026-02-28,SAP
SAPTXN5693,SAP1693,SAPACC1693,Credit,27525,INR,DOC006,COMP005,PLANT05,MG05,2026-03-30,SAP
SAPTXN5478,SAP1478,SAPACC1478,Credit,24358,INR,DOC020,COMP006,PLANT06,MG06,2026-02-18,SAP
SAPTXN5220,SAP1220,SAPACC1220,Payment,35507,INR,DOC001,COMP004,PLANT04,MG04,2026-01-01,SAP
SAPTXN5744,SAP1744,SAPACC1744,Credit,45831,INR,DOC006,COMP008,PLANT08,MG08,2026-01-26,SAP
SAPTXN5105,SAP1105,SAPACC1105,Invoice,43765,INR,DOC011,COMP001,PLANT01,MG01,2026-02-20,SAP
SAPTXN5870,SAP1870,SAPACC1870,Refund,4722,INR,DOC002,COMP006,PLANT06,MG06,2026-02-20,SAP
SAPTXN5260,SAP1260,SAPACC1260,Invoice,22713,INR,DOC020,COMP004,PLANT04,MG04,2026-03-14,SAP
SAPTXN5460,SAP1460,SAPACC1460,Invoice,42268,INR,DOC008,COMP004,PLANT04,MG04,2026-03-01,SAP
SAPTXN5238,SAP1238,SAPACC1238,Credit,48943,INR,DOC018,COMP006,PLANT06,MG06,2026-03-22,SAP
SAPTXN5375,SAP1375,SAPACC1375,Order,13195,INR,DOC007,COMP007,PLANT07,MG07,2026-01-09,SAP
SAPTXN5142,SAP1142,SAPACC1142,Order,22447,INR,DOC017,COMP006,PLANT06,MG06,2026-03-14,SAP
SAPTXN5201,SAP1201,SAPACC1201,Credit,37191,INR,DOC005,COMP001,PLANT01,MG01,2026-03-25,SAP
SAPTXN5738,SAP1738,SAPACC1738,Payment,39583,INR,DOC012,COMP002,PLANT02,MG02,2026-03-15,SAP
SAPTXN5334,SAP1334,SAPACC1334,Invoice,27745,INR,DOC018,COMP006,PLANT06,MG06,2026-02-04,SAP
SAPTXN5315,SAP1315,SAPACC1315,Credit,14115,INR,DOC015,COMP003,PLANT03,MG03,2026-03-13,SAP
SAPTXN5335,SAP1335,SAPACC1335,Invoice,7473,INR,DOC003,COMP007,PLANT07,MG07,2026-03-22,SAP
SAPTXN5343,SAP1343,SAPACC1343,Credit,4560,INR,DOC015,COMP007,PLANT07,MG07,2026-01-19,SAP
SAPTXN5617,SAP1617,SAPACC1617,Order,37294,INR,DOC003,COMP001,PLANT01,MG01,2026-03-16,SAP
SAPTXN5296,SAP1296,SAPACC1296,Order,26089,INR,DOC016,COMP008,PLANT08,MG08,2026-01-10,SAP
SAPTXN5066,SAP1066,SAPACC1066,Invoice,35751,INR,DOC020,COMP002,PLANT02,MG02,2026-02-24,SAP
SAPTXN5846,SAP1846,SAPACC1846,Invoice,19909,INR,DOC007,COMP006,PLANT06,MG06,2026-03-13,SAP
SAPTXN5271,SAP1271,SAPACC1271,Payment,49222,INR,DOC001,COMP007,PLANT07,MG07,2026-01-15,SAP
SAPTXN5270,SAP1270,SAPACC1270,Order,22194,INR,DOC016,COMP006,PLANT06,MG06,2026-03-03,SAP
SAPTXN5384,SAP1384,SAPACC1384,Refund,13984,INR,DOC011,COMP008,PLANT08,MG08,2026-01-26,SAP
SAPTXN5138,SAP1138,SAPACC1138,Order,33329,INR,DOC016,COMP002,PLANT02,MG02,2026-01-24,SAP
SAPTXN5070,SAP1070,SAPACC1070,Invoice,36944,INR,DOC005,COMP006,PLANT06,MG06,2026-02-06,SAP
SAPTXN5269,SAP1269,SAPACC1269,Order,9497,INR,DOC007,COMP005,PLANT05,MG05,2026-02-07,SAP
SAPTXN5418,SAP1418,SAPACC1418,Payment,34582,INR,DOC002,COMP002,PLANT02,MG02,2026-03-13,SAP
SAPTXN5682,SAP1682,SAPACC1682,Invoice,26871,INR,DOC014,COMP002,PLANT02,MG02,2026-02-05,SAP
SAPTXN5850,SAP1850,SAPACC1850,Payment,16953,INR,DOC017,COMP002,PLANT02,MG02,2026-01-26,SAP
SAPTXN5025,SAP1025,SAPACC1025,Order,843,INR,DOC006,COMP001,PLANT01,MG01,2026-02-21,SAP
SAPTXN5226,SAP1226,SAPACC1226,Credit,39541,INR,DOC015,COMP002,PLANT02,MG02,2026-01-05,SAP
SAPTXN5757,SAP1757,SAPACC1757,Payment,45618,INR,DOC019,COMP005,PLANT05,MG05,2026-02-09,SAP
SAPTXN5093,SAP1093,SAPACC1093,Payment,29785,INR,DOC017,COMP005,PLANT05,MG05,2026-03-31,SAP
SAPTXN5949,SAP1949,SAPACC1949,Credit,15540,INR,DOC013,COMP005,PLANT05,MG05,2026-01-21,SAP
SAPTXN5792,SAP1792,SAPACC1792,Refund,20764,INR,DOC010,COMP008,PLANT08,MG08,2026-01-08,SAP
SAPTXN5229,SAP1229,SAPACC1229,Order,49604,INR,DOC004,COMP005,PLANT05,MG05,2026-03-23,SAP
SAPTXN5528,SAP1528,SAPACC1528,Invoice,48560,INR,DOC008,COMP008,PLANT08,MG08,2026-02-13,SAP
SAPTXN5184,SAP1184,SAPACC1184,Credit,4724,INR,DOC014,COMP008,PLANT08,MG08,2026-01-15,SAP
SAPTXN5618,SAP1618,SAPACC1618,Invoice,16638,INR,DOC003,COMP002,PLANT02,MG02,2026-03-27,SAP
SAPTXN5030,SAP1030,SAPACC1030,Invoice,46018,INR,DOC019,COMP006,PLANT06,MG06,2026-02-17,SAP
SAPTXN5018,SAP1018,SAPACC1018,Refund,12149,INR,DOC004,COMP002,PLANT02,MG02,2026-03-02,SAP
SAPTXN5278,SAP1278,SAPACC1278,Payment,33649,INR,DOC016,COMP006,PLANT06,MG06,2026-03-24,SAP
SAPTXN5336,SAP1336,SAPACC1336,Payment,39498,INR,DOC001,COMP008,PLANT08,MG08,2026-02-23,SAP
SAPTXN5659,SAP1659,SAPACC1659,Credit,21080,INR,DOC009,COMP003,PLANT03,MG03,2026-03-21,SAP
SAPTXN5813,SAP1813,SAPACC1813,Payment,15929,INR,DOC017,COMP005,PLANT05,MG05,2026-02-22,SAP
SAPTXN5205,SAP1205,SAPACC1205,Order,49101,INR,DOC006,COMP005,PLANT05,MG05,2026-03-23,SAP
SAPTXN5090,SAP1090,SAPACC1090,Payment,45912,INR,DOC012,COMP002,PLANT02,MG02,2026-03-12,SAP
SAPTXN5037,SAP1037,SAPACC1037,Credit,10271,INR,DOC014,COMP005,PLANT05,MG05,2026-01-20,SAP
SAPTXN5402,SAP1402,SAPACC1402,Invoice,22749,INR,DOC007,COMP002,PLANT02,MG02,2026-03-22,SAP
SAPTXN5901,SAP1901,SAPACC1901,Order,29809,INR,DOC014,COMP005,PLANT05,MG05,2026-02-27,SAP
SAPTXN5532,SAP1532,SAPACC1532,Refund,34597,INR,DOC010,COMP004,PLANT04,MG04,2026-02-09,SAP
SAPTXN5917,SAP1917,SAPACC1917,Payment,8375,INR,DOC017,COMP005,PLANT05,MG05,2026-02-05,SAP
SAPTXN5596,SAP1596,SAPACC1596,Refund,26499,INR,DOC002,COMP004,PLANT04,MG04,2026-02-07,SAP
SAPTXN5124,SAP1124,SAPACC1124,Order,3275,INR,DOC014,COMP004,PLANT04,MG04,2026-01-11,SAP
SAPTXN5028,SAP1028,SAPACC1028,Credit,23689,INR,DOC002,COMP004,PLANT04,MG04,2026-01-03,SAP
SAPTXN5536,SAP1536,SAPACC1536,Order,10832,INR,DOC020,COMP008,PLANT08,MG08,2026-03-20,SAP
SAPTXN5703,SAP1703,SAPACC1703,Credit,46426,INR,DOC003,COMP007,PLANT07,MG07,2026-02-21,SAP
SAPTXN5436,SAP1436,SAPACC1436,Order,48725,INR,DOC016,COMP004,PLANT04,MG04,2026-01-29,SAP
SAPTXN5544,SAP1544,SAPACC1544,Payment,48979,INR,DOC019,COMP008,PLANT08,MG08,2026-03-21,SAP
SAPTXN5332,SAP1332,SAPACC1332,Invoice,2765,INR,DOC016,COMP004,PLANT04,MG04,2026-03-01,SAP
SAPTXN5343,SAP1343,SAPACC1343,Credit,4560,INR,DOC015,COMP007,PLANT07,MG07,2026-01-19,SAP
SAPTXN5370,SAP1370,SAPACC1370,Invoice,28391,INR,DOC016,COMP002,PLANT02,MG02,2026-03-11,SAP
SAPTXN5874,SAP1874,SAPACC1874,Credit,2495,INR,DOC016,COMP002,PLANT02,MG02,2026-01-30,SAP
SAPTXN5918,SAP1918,SAPACC1918,Order,25371,INR,DOC007,COMP006,PLANT06,MG06,2026-02-11,SAP
SAPTXN5488,SAP1488,SAPACC1488,Invoice,17049,INR,DOC005,COMP008,PLANT08,MG08,2026-02-16,SAP
SAPTXN5159,SAP1159,SAPACC1159,Payment,32128,INR,DOC010,COMP007,PLANT07,MG07,2026-03-02,SAP
SAPTXN5169,SAP1169,SAPACC1169,Order,9070,INR,DOC017,COMP001,PLANT01,MG01,2026-02-04,SAP
SAPTXN5837,SAP1837,SAPACC1837,Credit,29534,INR,DOC001,COMP005,PLANT05,MG05,2026-01-17,SAP
SAPTXN5349,SAP1349,SAPACC1349,Invoice,15489,INR,DOC004,COMP005,PLANT05,MG05,2026-02-28,SAP
SAPTXN5487,SAP1487,SAPACC1487,Payment,5567,INR,DOC014,COMP007,PLANT07,MG07,2026-02-18,SAP
SAPTXN5798,SAP1798,SAPACC1798,Payment,10700,INR,DOC006,COMP006,PLANT06,MG06,2026-01-10,SAP
SAPTXN5258,SAP1258,SAPACC1258,Order,38511,INR,DOC017,COMP002,PLANT02,MG02,2026-01-17,SAP
SAPTXN5626,SAP1626,SAPACC1626,Credit,39844,INR,DOC017,COMP002,PLANT02,MG02,2026-02-13,SAP
SAPTXN5245,SAP1245,SAPACC1245,Invoice,40697,INR,DOC003,COMP005,PLANT05,MG05,2026-02-01,SAP
SAPTXN5795,SAP1795,SAPACC1795,Refund,22936,INR,DOC011,COMP003,PLANT03,MG03,2026-03-10,SAP
SAPTXN5907,SAP1907,SAPACC1907,Credit,21270,INR,DOC009,COMP003,PLANT03,MG03,2026-02-14,SAP
SAPTXN5248,SAP1248,SAPACC1248,Credit,36106,INR,DOC010,COMP008,PLANT08,MG08,2026-01-07,SAP
SAPTXN5552,SAP1552,SAPACC1552,Invoice,34688,INR,DOC007,COMP008,PLANT08,MG08,2026-02-05,SAP
SAPTXN5344,SAP1344,SAPACC1344,Credit,11618,INR,DOC012,COMP008,PLANT08,MG08,2026-02-12,SAP
SAPTXN5844,SAP1844,SAPACC1844,Payment,22720,INR,DOC001,COMP004,PLANT04,MG04,2026-01-25,SAP
SAPTXN5009,SAP1009,SAPACC1009,Invoice,36600,INR,DOC017,COMP001,PLANT01,MG01,2026-03-30,SAP
SAPTXN5885,SAP1885,SAPACC1885,Refund,14863,INR,DOC019,COMP005,PLANT05,MG05,2026-02-18,SAP
