transaction_id,customer_id,account_id,transaction_type,amount,currency,opportunity_id,opportunity_stage,campaign_id,transaction_date,source_system
SFTXN5288,SF1288,SFACC1288,Order,12446,USD,OPP0288,Negotiation,CAMP040,2024-04-03 00:00:00,Salesforce
SFTXN5214,SF1214,SFACC1214,Order,40578,USD,OPP0214,Prospecting,CAMP001,2024-04-21 00:00:00,Salesforce
SFTXN5881,SF1881,SFACC1881,Credit,21446,USD,OPP0881,Closed Won,CAMP015,2024-06-04 00:00:00,Salesforce
SFTXN5808,SF1808,SFACC1808,Payment,15288,USD,OPP0808,Negotiation,CAMP018,2024-02-23 00:00:00,Salesforce
SFTXN5859,SF1859,SFACC1859,Order,7480,USD,OPP0859,Closed Lost,CAMP019,2024-08-17 00:00:00,Salesforce
SFTXN5344,SF1344,SFACC1344,Invoice,11455,USD,OPP0344,Closed Won,CAMP001,2024-02-21 00:00:00,Salesforce
SFTXN5683,SF1683,SFACC1683,Refund,10843,USD,OPP0683,Prospecting,CAMP035,2024-06-20 00:00:00,Salesforce
SFTXN5167,SF1167,SFACC1167,Payment,7256,USD,OPP0167,Closed Lost,CAMP042,2025-03-18 00:00:00,Salesforce
SFTXN5086,SF1086,SFACC1086,Invoice,31163,USD,OPP0086,Negotiation,CAMP024,2024-09-02 00:00:00,Salesforce
SFTXN5130,SF1130,SFACC1130,Payment,23252,USD,OPP0130,Proposal,CAMP043,2026-03-08 00:00:00,Salesforce
SFTXN5701,SF1701,SFACC1701,Credit,1690,USD,OPP0701,Closed Lost,CAMP048,2024-05-12 00:00:00,Salesforce
SFTXN5831,SF1831,SFACC1831,Credit,22664,USD,OPP0831,Proposal,CAMP046,2024-02-12 00:00:00,Salesforce
SFTXN5520,SF1520,SFACC1520,Refund,34869,USD,OPP0520,Prospecting,CAMP030,2025-08-11 00:00:00,Salesforce
SFTXN5217,SF1217,SFACC1217,Credit,2475,USD,OPP0217,Negotiation,CAMP047,2024-08-26 00:00:00,Salesforce
SFTXN5686,SF1686,SFACC1686,Payment,16271,USD,OPP0686,Negotiation,CAMP015,2025-09-15 00:00:00,Salesforce
SFTXN5697,SF1697,SFACC1697,Refund,20570,USD,OPP0697,Closed Won,CAMP010,2025-11-03 00:00:00,Salesforce
SFTXN5867,SF1867,SFACC1867,Payment,8427,USD,OPP0867,Closed Won,CAMP049,2024-05-05 00:00:00,Salesforce
SFTXN5442,SF1442,SFACC1442,Refund,15743,USD,OPP0442,Proposal,CAMP034,2025-02-13 00:00:00,Salesforce
SFTXN5032,SF1032,SFACC1032,Credit,43241,USD,OPP0032,Negotiation,CAMP045,2024-09-29 00:00:00,Salesforce
SFTXN5696,SF1696,SFACC1696,Credit,26993,USD,OPP0696,Closed Won,CAMP038,2025-12-04 00:00:00,Salesforce
SFTXN5025,SF1025,SFACC1025,Invoice,43131,USD,OPP0025,Proposal,CAMP041,2025-09-10 00:00:00,Salesforce
SFTXN5714,SF1714,SFACC1714,Invoice,42714,USD,OPP0714,Negotiation,CAMP042,2024-09-02 00:00:00,Salesforce
SFTXN5917,SF1917,SFACC1917,Payment,31854,USD,OPP0917,Prospecting,CAMP004,2024-11-22 00:00:00,Salesforce
SFTXN5504,SF1504,SFACC1504,Credit,46154,USD,OPP0504,Closed Lost,CAMP031,2025-05-04 00:00:00,Salesforce
SFTXN5396,SF1396,SFACC1396,Refund,19697,USD,OPP0396,Closed Won,CAMP025,2024-02-19 00:00:00,Salesforce
SFTXN5639,SF1639,SFACC1639,Refund,29446,USD,OPP0639,Qualification,CAMP008,2025-03-15 00:00:00,Salesforce
SFTXN5787,SF1787,SFACC1787,Order,27450,USD,OPP0787,Prospecting,CAMP041,2025-08-10 00:00:00,Salesforce
SFTXN5682,SF1682,SFACC1682,Refund,2119,USD,OPP0682,Qualification,CAMP046,2025-02-13 00:00:00,Salesforce
SFTXN5506,SF1506,SFACC1506,Credit,15494,USD,OPP0506,Qualification,CAMP036,2025-10-09 00:00:00,Salesforce
SFTXN5691,SF1691,SFACC1691,Invoice,14101,USD,OPP0691,Negotiation,CAMP038,2024-03-16 00:00:00,Salesforce
SFTXN5337,SF1337,SFACC1337,Order,24473,USD,OPP0337,Negotiation,CAMP038,2025-04-22 00:00:00,Salesforce
SFTXN5828,SF1828,SFACC1828,Refund,25315,USD,OPP0828,Closed Lost,CAMP008,2024-09-11 00:00:00,Salesforce
SFTXN5738,SF1738,SFACC1738,Credit,39376,USD,OPP0738,Closed Won,CAMP027,2024-05-15 00:00:00,Salesforce
SFTXN5841,SF1841,SFACC1841,Order,3812,USD,OPP0841,Closed Won,CAMP012,2025-07-26 00:00:00,Salesforce
SFTXN5431,SF1431,SFACC1431,Payment,44181,USD,OPP0431,Negotiation,CAMP025,2025-11-15 00:00:00,Salesforce
SFTXN5100,SF1100,SFACC1100,Invoice,31972,USD,OPP0100,Prospecting,CAMP048,2024-04-07 00:00:00,Salesforce
SFTXN5611,SF1611,SFACC1611,Payment,30956,USD,OPP0611,Closed Won,CAMP007,2025-11-04 00:00:00,Salesforce
SFTXN5654,SF1654,SFACC1654,Invoice,45275,USD,OPP0654,Negotiation,CAMP023,2024-11-13 00:00:00,Salesforce
SFTXN5707,SF1707,SFACC1707,Order,39391,USD,OPP0707,Closed Won,CAMP009,2024-03-01 00:00:00,Salesforce
SFTXN5883,SF1883,SFACC1883,Order,22457,USD,OPP0883,Closed Lost,CAMP021,2024-10-01 00:00:00,Salesforce
SFTXN5135,SF1135,SFACC1135,Invoice,9361,USD,OPP0135,Closed Won,CAMP015,2026-02-20 00:00:00,Salesforce
SFTXN5716,SF1716,SFACC1716,Credit,34938,USD,OPP0716,Prospecting,CAMP014,2024-05-21 00:00:00,Salesforce
SFTXN5374,SF1374,SFACC1374,Payment,6385,USD,OPP0374,Prospecting,CAMP009,2025-04-20 00:00:00,Salesforce
SFTXN5239,SF1239,SFACC1239,Invoice,23919,USD,OPP0239,Proposal,CAMP014,2024-03-13 00:00:00,Salesforce
SFTXN5287,SF1287,SFACC1287,Order,8686,USD,OPP0287,Negotiation,CAMP025,2025-01-29 00:00:00,Salesforce
SFTXN5869,SF1869,SFACC1869,Credit,7863,USD,OPP0869,Proposal,CAMP006,2025-11-04 00:00:00,Salesforce
SFTXN5931,SF1931,SFACC1931,Order,22565,USD,OPP0931,Qualification,CAMP041,2025-11-27 00:00:00,Salesforce
SFTXN5533,SF1533,SFACC1533,Payment,21017,USD,OPP0533,Prospecting,CAMP008,2024-12-07 00:00:00,Salesforce
SFTXN5447,SF1447,SFACC1447,Payment,5182,USD,OPP0447,Qualification,CAMP031,2024-01-17 00:00:00,Salesforce
SFTXN5687,SF1687,SFACC1687,Refund,35825,USD,OPP0687,Negotiation,CAMP042,2025-08-31 00:00:00,Salesforce
SFTXN5326,SF1326,SFACC1326,Invoice,24186,USD,OPP0326,Negotiation,CAMP031,2026-03-16 00:00:00,Salesforce
SFTXN5053,SF1053,SFACC1053,Order,13638,USD,OPP0053,Negotiation,CAMP031,2025-05-06 00:00:00,Salesforce
SFTXN5171,SF1171,SFACC1171,Order,3595,USD,OPP0171,Negotiation,CAMP043,2025-04-27 00:00:00,Salesforce
SFTXN5700,SF1700,SFACC1700,Order,36293,USD,OPP0700,Closed Lost,CAMP016,2025-11-18 00:00:00,Salesforce
SFTXN5350,SF1350,SFACC1350,Order,46424,USD,OPP0350,Closed Won,CAMP035,2025-08-02 00:00:00,Salesforce
SFTXN5207,SF1207,SFACC1207,Order,45019,USD,OPP0207,Qualification,CAMP007,2025-12-24 00:00:00,Salesforce
SFTXN5512,SF1512,SFACC1512,Refund,22725,USD,OPP0512,Proposal,CAMP019,2025-01-05 00:00:00,Salesforce
SFTXN5796,SF1796,SFACC1796,Payment,49152,USD,OPP0796,Closed Won,CAMP026,2024-02-14 00:00:00,Salesforce
SFTXN5678,SF1678,SFACC1678,Invoice,37171,USD,OPP0678,Qualification,CAMP014,2025-10-09 00:00:00,Salesforce
SFTXN5646,SF1646,SFACC1646,Refund,7496,USD,OPP0646,Negotiation,CAMP047,2025-07-01 00:00:00,Salesforce
SFTXN5006,SF1006,SFACC1006,Invoice,13529,USD,OPP0006,Closed Lost,CAMP032,2026-01-08 00:00:00,Salesforce
SFTXN5882,SF1882,SFACC1882,Credit,24124,USD,OPP0882,Proposal,CAMP018,2026-01-12 00:00:00,Salesforce
SFTXN5128,SF1128,SFACC1128,Credit,12084,USD,OPP0128,Prospecting,CAMP009,2025-08-15 00:00:00,Salesforce
SFTXN5641,SF1641,SFACC1641,Invoice,21500,USD,OPP0641,Closed Won,CAMP022,2024-07-19 00:00:00,Salesforce
SFTXN5201,SF1201,SFACC1201,Refund,26695,USD,OPP0201,Proposal,CAMP035,2024-10-10 00:00:00,Salesforce
SFTXN5490,SF1490,SFACC1490,Invoice,8342,USD,OPP0490,Closed Won,CAMP034,2024-08-03 00:00:00,Salesforce
SFTXN5427,SF1427,SFACC1427,Invoice,44320,USD,OPP0427,Closed Won,CAMP036,2024-02-15 00:00:00,Salesforce
SFTXN5148,SF1148,SFACC1148,Order,12605,USD,OPP0148,Qualification,CAMP027,2024-11-02 00:00:00,Salesforce
SFTXN5843,SF1843,SFACC1843,Credit,32026,USD,OPP0843,Closed Won,CAMP007,2024-12-08 00:00:00,Salesforce
SFTXN5290,SF1290,SFACC1290,Order,41127,USD,OPP0290,Closed Won,CAMP043,2025-01-10 00:00:00,Salesforce
SFTXN5766,SF1766,SFACC1766,Refund,42796,USD,OPP0766,Prospecting,CAMP026,2024-05-02 00:00:00,Salesforce
SFTXN5664,SF1664,SFACC1664,Order,15339,USD,OPP0664,Qualification,CAMP046,2024-07-19 00:00:00,Salesforce
SFTXN5392,SF1392,SFACC1392,Credit,1878,USD,OPP0392,Closed Won,CAMP021,2025-04-12 00:00:00,Salesforce
SFTXN5476,SF1476,SFACC1476,Order,19266,USD,OPP0476,Closed Lost,CAMP021,2026-01-14 00:00:00,Salesforce
SFTXN5291,SF1291,SFACC1291,Refund,39955,USD,OPP0291,Prospecting,CAMP001,2024-08-22 00:00:00,Salesforce
SFTXN5378,SF1378,SFACC1378,Payment,28524,USD,OPP0378,Closed Lost,CAMP027,2024-01-08 00:00:00,Salesforce
SFTXN5388,SF1388,SFACC1388,Credit,33230,USD,OPP0388,Closed Lost,CAMP020,2024-02-03 00:00:00,Salesforce
SFTXN5354,SF1354,SFACC1354,Credit,47941,USD,OPP0354,Prospecting,CAMP020,2025-11-22 00:00:00,Salesforce
SFTXN5605,SF1605,SFACC1605,Credit,40173,USD,OPP0605,Negotiation,CAMP026,2024-04-02 00:00:00,Salesforce
SFTXN5421,SF1421,SFACC1421,Credit,33632,USD,OPP0421,Qualification,CAMP005,2024-10-02 00:00:00,Salesforce
SFTXN5900,SF1900,SFACC1900,Order,14399,USD,OPP0900,Proposal,CAMP009,2024-03-09 00:00:00,Salesforce
SFTXN5435,SF1435,SFACC1435,Order,16656,USD,OPP0435,Closed Lost,CAMP050,2025-07-31 00:00:00,Salesforce
SFTXN5120,SF1120,SFACC1120,Payment,27780,USD,OPP0120,Proposal,CAMP036,2024-06-11 00:00:00,Salesforce
SFTXN5478,SF1478,SFACC1478,Credit,46316,USD,OPP0478,Closed Lost,CAMP018,2025-05-06 00:00:00,Salesforce
SFTXN5739,SF1739,SFACC1739,Invoice,1768,USD,OPP0739,Negotiation,CAMP035,2025-03-05 00:00:00,Salesforce
SFTXN5730,SF1730,SFACC1730,Payment,27974,USD,OPP0730,Negotiation,CAMP010,2024-02-01 00:00:00,Salesforce
SFTXN5168,SF1168,SFACC1168,Order,1638,USD,OPP0168,Closed Won,CAMP001,2024-09-17 00:00:00,Salesforce
SFTXN5693,SF1693,SFACC1693,Credit,14107,USD,OPP0693,Prospecting,CAMP004,2025-12-09 00:00:00,Salesforce
SFTXN5734,SF1734,SFACC1734,Invoice,31151,USD,OPP0734,Qualification,CAMP012,2024-02-20 00:00:00,Salesforce
SFTXN5668,SF1668,SFACC1668,Credit,7240,USD,OPP0668,Proposal,CAMP039,2025-01-24 00:00:00,Salesforce
SFTXN5113,SF1113,SFACC1113,Payment,48159,USD,OPP0113,Proposal,CAMP047,2024-06-23 00:00:00,Salesforce
SFTXN5072,SF1072,SFACC1072,Credit,33247,USD,OPP0072,Proposal,CAMP020,2024-01-27 00:00:00,Salesforce
SFTXN5384,SF1384,SFACC1384,Credit,29587,USD,OPP0384,Closed Lost,CAMP026,2024-04-03 00:00:00,Salesforce
SFTXN5419,SF1419,SFACC1419,Refund,28552,USD,OPP0419,Proposal,CAMP022,2024-12-10 00:00:00,Salesforce
SFTXN5230,SF1230,SFACC1230,Order,18487,USD,OPP0230,Proposal,CAMP014,2025-06-04 00:00:00,Salesforce
SFTXN5084,SF1084,SFACC1084,Payment,2012,USD,OPP0084,Negotiation,CAMP031,2024-08-26 00:00:00,Salesforce
SFTXN5249,SF1249,SFACC1249,Payment,26895,USD,OPP0249,Closed Lost,CAMP020,2026-03-10 00:00:00,Salesforce
SFTXN5359,SF1359,SFACC1359,Credit,44298,USD,OPP0359,Closed Lost,CAMP022,2024-06-26 00:00:00,Salesforce
SFTXN5264,SF1264,SFACC1264,Refund,18484,USD,OPP0264,Negotiation,CAMP006,2026-01-08 00:00:00,Salesforce
SFTXN5369,SF1369,SFACC1369,Invoice,2215,USD,OPP0369,Proposal,CAMP020,2024-11-17 00:00:00,Salesforce
SFTXN5800,SF1800,SFACC1800,Invoice,39291,USD,OPP0800,Prospecting,CAMP048,2024-06-28 00:00:00,Salesforce
SFTXN5692,SF1692,SFACC1692,Credit,22517,USD,OPP0692,Negotiation,CAMP007,2025-05-02 00:00:00,Salesforce
SFTXN5460,SF1460,SFACC1460,Credit,1013,USD,OPP0460,Negotiation,CAMP035,2025-07-25 00:00:00,Salesforce
SFTXN5390,SF1390,SFACC1390,Refund,22311,USD,OPP0390,Closed Lost,CAMP047,2024-01-19 00:00:00,Salesforce
SFTXN5197,SF1197,SFACC1197,Order,36314,USD,OPP0197,Proposal,CAMP044,2024-02-08 00:00:00,Salesforce
SFTXN5007,SF1007,SFACC1007,Payment,21381,USD,OPP0007,Qualification,CAMP028,2025-12-19 00:00:00,Salesforce
SFTXN5723,SF1723,SFACC1723,Invoice,49772,USD,OPP0723,Proposal,CAMP003,2025-11-30 00:00:00,Salesforce
SFTXN5656,SF1656,SFACC1656,Credit,45325,USD,OPP0656,Prospecting,CAMP008,2024-11-22 00:00:00,Salesforce
SFTXN5556,SF1556,SFACC1556,Invoice,30415,USD,OPP0556,Proposal,CAMP014,2024-12-09 00:00:00,Salesforce
SFTXN5330,SF1330,SFACC1330,Invoice,32527,USD,OPP0330,Closed Won,CAMP049,2024-02-09 00:00:00,Salesforce
SFTXN5727,SF1727,SFACC1727,Payment,38230,USD,OPP0727,Closed Lost,CAMP002,2025-04-02 00:00:00,Salesforce
SFTXN5486,SF1486,SFACC1486,Payment,44707,USD,OPP0486,Prospecting,CAMP007,2025-05-11 00:00:00,Salesforce
SFTXN5891,SF1891,SFACC1891,Credit,27604,USD,OPP0891,Negotiation,CAMP019,2024-08-11 00:00:00,Salesforce
SFTXN5233,SF1233,SFACC1233,Invoice,36484,USD,OPP0233,Negotiation,CAMP041,2025-06-10 00:00:00,Salesforce
SFTXN5571,SF1571,SFACC1571,Order,14660,USD,OPP0571,Closed Won,CAMP038,2025-08-04 00:00:00,Salesforce
SFTXN5208,SF1208,SFACC1208,Credit,31789,USD,OPP0208,Negotiation,CAMP008,2025-05-04 00:00:00,Salesforce
SFTXN5690,SF1690,SFACC1690,Credit,11368,USD,OPP0690,Qualification,CAMP038,2025-06-11 00:00:00,Salesforce
SFTXN5711,SF1711,SFACC1711,Refund,42549,USD,OPP0711,Prospecting,CAMP007,2025-01-16 00:00:00,Salesforce
SFTXN5116,SF1116,SFACC1116,Credit,7644,USD,OPP0116,Prospecting,CAMP041,2026-01-21 00:00:00,Salesforce
SFTXN5451,SF1451,SFACC1451,Order,28774,USD,OPP0451,Closed Lost,CAMP003,2026-03-07 00:00:00,Salesforce
SFTXN5765,SF1765,SFACC1765,Invoice,29655,USD,OPP0765,Closed Lost,CAMP043,2026-01-18 00:00:00,Salesforce
SFTXN5584,SF1584,SFACC1584,Credit,48974,USD,OPP0584,Negotiation,CAMP048,2025-11-24 00:00:00,Salesforce
SFTXN5144,SF1144,SFACC1144,Credit,17009,USD,OPP0144,Negotiation,CAMP043,2025-04-22 00:00:00,Salesforce
SFTXN5037,SF1037,SFACC1037,Credit,13125,USD,OPP0037,Prospecting,CAMP003,2024-11-23 00:00:00,Salesforce
SFTXN5410,SF1410,SFACC1410,Credit,30713,USD,OPP0410,Closed Won,CAMP047,2025-02-16 00:00:00,Salesforce
SFTXN5253,SF1253,SFACC1253,Order,13035,USD,OPP0253,Negotiation,CAMP007,2025-06-03 00:00:00,Salesforce
SFTXN5443,SF1443,SFACC1443,Order,21630,USD,OPP0443,Closed Lost,CAMP028,2024-11-23 00:00:00,Salesforce
SFTXN5649,SF1649,SFACC1649,Order,49901,USD,OPP0649,Closed Lost,CAMP003,2024-06-22 00:00:00,Salesforce
SFTXN5851,SF1851,SFACC1851,Order,24063,USD,OPP0851,Closed Won,CAMP043,2024-07-23 00:00:00,Salesforce
SFTXN5835,SF1835,SFACC1835,Order,10798,USD,OPP0835,Negotiation,CAMP048,2024-01-02 00:00:00,Salesforce
SFTXN5806,SF1806,SFACC1806,Invoice,48638,USD,OPP0806,Proposal,CAMP014,2025-08-13 00:00:00,Salesforce
SFTXN5141,SF1141,SFACC1141,Order,14698,USD,OPP0141,Prospecting,CAMP050,2026-03-10 00:00:00,Salesforce
SFTXN5449,SF1449,SFACC1449,Invoice,3883,USD,OPP0449,Prospecting,CAMP018,2024-03-08 00:00:00,Salesforce
SFTXN5450,SF1450,SFACC1450,Order,33684,USD,OPP0450,Qualification,CAMP025,2025-10-08 00:00:00,Salesforce
SFTXN5395,SF1395,SFACC1395,Refund,23803,USD,OPP0395,Qualification,CAMP004,2025-04-09 00:00:00,Salesforce
SFTXN5166,SF1166,SFACC1166,Credit,37534,USD,OPP0166,Closed Won,CAMP026,2024-05-01 00:00:00,Salesforce
SFTXN5194,SF1194,SFACC1194,Order,26159,USD,OPP0194,Prospecting,CAMP039,2024-12-13 00:00:00,Salesforce
